země	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
CZE	3	7	4	1	3	3	1	1	1	5	4	5	1	2	7	5	6	1	3	3	7	4
FIN	7	2	1	5	5	2	2	3	2	4	5	6	7	3	2	3	5	6	1	4	4	2
CAN	4	1	3	2	1	6	4	4	5	6	1	1	2	4	1	2	2	7	5	5	5	5
RUS	1	5	5	4	4	5	5	11	6	2	7	10	3	5	3	1	1	2	4	1	6	1
SVK				10	9	7	7	2	7	1	3	4	5	8	6	13	10	12	10	2	8	9
SWE	2	3	2	6	2	1	3	7	3	3	2	2	4	1	4	4	3	3	2	6	1	3
SUI	12		12			4	8	6	9	10	8	8	8	9	8	7	9	5	9	11	2	10
USA	6	4	6	3	6	12	6	5	4	7	13	3	6	7	5	6	4	13	8	7	3	6
GER	5	9	9	8	11	11			8	8	6	9	15		9	10	15	4	7	12	9	14
ITA	8	6	7	7	8	10	13	12	12	15				14	12	16		15		15		15
AUT	9	8	11	12		15	10	13	11	12	10	11	16		15		14		15		15
FRA	10	10	8	11	10	13	15	15				16				14	12	14	12	9	13	8
NOR	11	11	10	9	12		12	10	15					11	14	8	11	9	6	8	10	12
GBR		12
LAT					7	9	11	8	13	11	9	7	9	10	13	11	7	11	13	10	11	11
BLR						8	9	9	14		14		10	6	11	9	8	10	14	14	14	7
JAP						14	16	16	16	16	16	15
KAZ						16						13	12	15				16		16		16
UKR							14	14	10	9	12	14	11	12	16
SLO										13	15		13	16		15			16		16
POL										14
DEN											11	12	14	13	10	12	13	8	11	13	12	13
HUN																	16
